,id,cast,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,tmdb_score
2836,tm845512,"['Alison Brie', 'Debby Ryan', 'John Reynolds', 'Molly Shannon', 'John Ortiz', 'Meredith Hagner', 'Jake Picking', 'David Paymer', 'Jay Duplass', 'Toby Huss', 'Lauren Weedman', 'Angela Trimbur', 'Aaron Stanford', 'Matthew Gray Gubler', 'Robin Tunney', 'Paul Reiser', 'Stella Chestnut', 'Mary Apick', 'Dylan Gelula', 'Andrew Patrick Ralston', 'Dendrie Taylor', 'Zoe Saltz', 'Victoria Clare', 'Luis Fernandez-Gil', 'Allan McLeod', 'Bonnie Burroughs', 'Sharae Nikai', 'Goldenite', 'Jeff Baena']",Horse Girl,MOVIE,"A socially awkward woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",2020.0,R,104.0,['drama'],['US'],0.0,0.0,5.6
2837,tm845532,"['Walter Mercado', 'Willy Acosta', 'Lin-Manuel Miranda', 'Raul de Molina', 'Eugenio Derbez', 'Nydia Caro', 'Cristina Costantini', 'Kareem Tabsch']",Mucho Mucho Amor: The Legend of Walter Mercado,MOVIE,"Once the world's most famous astrologer, Walter Mercado seeks to resurrect a forgotten legacy. Raised in the sugar cane fields of Puerto Rico, Walter grew up to become a gender non-conforming, cape-wearing psychic whose televised horoscopes reached 120 million viewers a day for decades before he mysteriously disappeared.",2020.0,,96.0,['documentation'],['US'],0.0,7.2,7.5
2838,tm845535,"['Joy Buolamwini', ""Cathy O'Neil"", 'Meredith Broussard', 'Silkie Carlo', 'Virginia Eubanks', 'Ravi Naik', 'Safiya Umoja Noble', 'Zeynep Tufekci', 'Shalini Kantayya']",Coded Bias,MOVIE,"Exploring the fallout of MIT Media Lab researcher Joy Buolamwini's startling discovery that facial recognition does not see dark-skinned faces accurately, and her journey to push for the first-ever legislation in the U.S. to govern against bias in the algorithms that impact us all.",2020.0,,86.0,['documentation'],"['US', 'CN', 'GB']",0.0,6.7,7.3
2839,tm845549,"[""Jordan O'Donegan"", 'David Mitchell', 'Donna Budway', 'Emma Budway', 'Jeremy Dear', 'Joss Dear', 'Aarti Khurana', 'Amrit Khurana', 'Stevie Lee', 'Benjamin McGann', 'Bertra McGann', 'Jestina Penn-Timity', 'Mary Penn-Timity', 'Ronald Penn-Timity', 'Elizabeth Vosseller', 'Jim Fujiwara', 'Jerry Rothwell']",The Reason I Jump,MOVIE,"Based on the book by a non-verbal autistic man, Naoki Higashida, filmmaker Jerry Rothwell examines the lives of five non-speaking, autistic youngsters.",2020.0,,82.0,"['documentation', 'drama']","['US', 'GB']",0.0,7.5,7.2
2840,tm845552,"['Denzel Washington', 'Viola Davis', 'Stephen McKinley Henderson', 'James D. Stern', 'Fernando Villena']",Giving Voice,MOVIE,"Every year, thousands of high schoolers enter the August Wilson monologue competition for a chance to perform on Broadway. This film follows these students, examining how Wilson and his characters speak to a new generation, inspiring them to listen to his words and find their own voice.",2020.0,PG-13,90.0,['documentation'],['US'],0.0,0.0,6.3
2841,tm845588,"['Vlasta Vrana', 'Sonja Ball', 'Craig Francis', 'Richard C. Jones', 'Michel Perron', 'Terrence Scammell', 'Bruce Dinsmore', 'Jennifer Seguin', 'Daniel Brochu', 'Brian Froud', 'Holly Gauthier-Frankel', 'Angela Galuppo', 'A.J. Henderson', 'Kim Richardson', 'Bernie Denk']",Spookley and the Christmas Kittens,MOVIE,Spookley and Mistletoe encounter three stray kittens for whom they must brave a raging winter storm to find a home.,2019.0,,44.0,['music'],['US'],0.0,0.0,0.0
2842,tm845594,"['Dinesh Ravi', 'Anandhi', 'Riythvika', 'John Vijay', 'Lijeesh', 'Ramesh Thilak', 'Munishkanth', 'Rama', 'G. Marimuthu', 'Munnar Ramesh', 'Karuppu Nambiyar', 'Athiyan Athirai']",Irandam Ulagaporin Kadaisi Gundu,MOVIE,A hardworking lorry driver who works at an old paper mart learns about the presence of a bomb and does everything he can to stop it from exploding.,2019.0,,141.0,"['drama', 'thriller']",['IN'],0.0,7.2,6.2
2843,tm845607,"['Amber Frank', 'Bailey Gambertoglio', 'Sydney Park', 'Tiya Sircar', 'Evan Agos', 'Nolan North', 'Kay Bess', 'David Faustino', 'Katherine McNamara', 'Gabriella Graves', 'Duncan Joiner', 'Darcy Rose Byrnes', 'Kari Wahlgren', 'Jonathan Craig Williams', 'Kevin Wotton']",Spirit Riding Free: Spirit of Christmas,MOVIE,"Lucky and her friends venture into town on Christmas Eve in an attempt to fulfill their holiday plans. But when distractions lead to delays, they must figure out how to get home in time for Christmas in the middle of a serious snowstorm!",2019.0,PG,45.0,"['animation', 'family', 'action', 'comedy', 'drama']",['US'],0.0,5.2,6.9
2844,tm845616,"['Pattarasaya Kreuasuwansiri', 'Petch Paopetch Charoensook', 'Rathanand Chanyachirawong', 'Thongkanthom Thongchai', 'Araya A. Hargate', 'Keetapat Pongruea', 'Panissara Arayaskul', 'Kritsanapoom Pibulsonggram', 'Gunn Svasti', 'Taksaorn Paksukcharern', 'Paris Intarakomalyasut', 'Sarunyu Wongkrachang', 'Niti Chaichitathorn', 'Chanana Nutakom', 'Pongsatorn Jongwilas', 'Tanida Hantaweewatana', 'Adisorn Trisirikasem', 'Aummaraporn Phandintong', 'Siwawut Sewatanon', 'Darunee Suthipitux', 'Hattaya Wongkrachang', 'Paula Taylor', 'Kwantip Devakula', 'Thanakorn Chinakul', 'Claudine Craig', 'Puttachat Pongsuchat', 'Kittiphong Dumavibhat', 'Panida Ngamsompong', 'Jarupus Pattamasiri', 'Hassaya Isariyasereekul', 'Bantita Chantawong', 'Kittiphak Thongauam']",Tootsies & The Fake,MOVIE,"After knocking a celebrity unconscious before a huge job, a bumbling pack of pals tries to avoid a lawsuit by replacing her with a look-alike.",2019.0,,108.0,['comedy'],['TH'],0.0,5.9,4.6
2845,tm845850,"['Omar Chaparro', 'Ana Claudia Talancón', 'Stephanie Cayo', 'Lupita Sandoval', 'Yare Santana', 'Angélica María', ""Manuel 'Flaco' Ibáñez"", 'Alejandro Gasque', 'Juan Alberto Villareal', 'Rocío Verdejo', 'Ricardo de Pascual', 'Itza Sodi', 'Roger Montes', 'Luis Fernando Zarate', 'Elaine Haro', 'Alan Gutiérrez', 'Áxel Ricco', 'Juan Pablo Monterrubio', 'José Luis Caballero', 'Daniela Zavala', 'María del Carmen Carrillo', 'Alfredo Morel', 'Rafa Ramos', 'Takahiro Murokawa', 'Gon Curiel', 'David Chavira', 'Guy Nae', 'Marco Antonio Treviño', 'Arnulfo Reyes', 'Terrence Stickman', 'Carmen Ramos', 'Víctor Franco', 'Matías Salazar', 'Claudia Vega', 'Alejandra Maldonado', 'Andrea Chávez de Moore', 'Laura de Ita', 'John Goodrich', 'Aldo Escalante', 'Antonio Durán', 'Luis Selgas', 'Paola Fernández', 'Pablo Vinós Celaya', 'Beng Zeng', 'Jaime de la Torre', 'Marcela Morett', 'Kristie Masciel', 'Sara Montalvo', 'Patrick Mena', 'Tabata Campos', 'Ricardo Barona', 'Gabriela Steck', 'Eva Aragón López', 'Melissa Reynoso Campuzano', 'Adrián Rodríguez Macedo', 'Mafer Milán', 'Alenka Ríos', 'Keyla Wood', 'Lucía Vargas', 'Alejandro Sanabria Jr.', 'Alejandro Sanabria', 'Leonardo Riaño', 'Luis Reyes', 'Octavio Meyrán', 'Jerry Tena', 'Nando Estevane', 'Pepe Bojórquez']",Out of the Clear Blue Sky,MOVIE,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",2019.0,,112.0,"['drama', 'music', 'comedy', 'romance']","['MX', 'US']",0.0,6.5,8.2
2846,tm845942,"['Tia Mowry-Hardrict', 'Anthony Alabi', 'Talia Jackson', 'Isaiah Russell-Bailey', 'Cameron J. Wright', 'Jordyn Raya James', 'Loretta Devine', 'Richard Roundtree', 'Telma Hopkins', 'Jackée Harry', 'Yindra Zayas', 'Michael Matera', 'Virginia Montero', 'Christine Renaud', 'Robbie Countryman']",A Family Reunion Christmas,MOVIE,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.,2019.0,,29.0,"['comedy', 'family']",['US'],0.0,5.8,6.1
2847,tm846166,"['Natalie Dormer', 'Eddie Marsan', 'Jeff Burrell', 'Harvey Friedman', 'Ian Odle', 'Bryan Larkin', 'Naomi McDonald', 'Tom Haywood', 'Andres Williams', 'Reinhard Klooss']",Pets United,MOVIE,"When Roger (a Robin Hood-esque, stray dog) and Belle (an elegant yet spoilt pet cat) are thrown together amidst the chaos of a robot take-over of their home city, they must push all their preconceptions aside in order to survive, as they embark on a high-stakes, action-packed adventure.",2019.0,,89.0,"['comedy', 'animation']","['CN', 'DE', 'GB']",0.0,3.7,5.9
